id|date_scraped|week_num|year|postal_code|ciqual_text_to_search|found_nutriments|origin|id_product|position|category|subcategory|second_subcategory|title_category_main_page|title_in_page_product|product_name|alcohol_grades|quantity|quantity_units|price|price_units|pvp|ingredients|bar_code|is_new_arrival|previous_pvp|nutriscore|planetscore|ciqual_text|ciqual_id|ewo_ultra_processed_punctuation
11|2026-09-16 11:05:48|38|2026|43812|Pasta salad Listo para Comer Fruits & vegetables Lettuce & prepared salad Prepared salad|0||13241|11|Fruta y verdura|Lechuga y ensalada preparada|Ensalada preparada|Productos del momento|Rápido y saludable|Ensalada de pasta Listo para Comer||0.366|kg|4.00|€/kg|4.00|pasta espiral 52,90% [sémola de trigo duro (gluten), tomate deshidratado 5%, espinacas deshidratadas 2,5%], huevo cocido de gallina, atún 10,29% (pescado), aceite refinado de girasol y sal. surimi 9,70% [carne de pescado, agua, almidón, clara de huevo, aceite refinado de nabina, sal, aroma (contiene crustaceo), proteína de soja (soja), almidón modificado, azúcar, colorante e160c, (puede contener moluscos), estabilizantes e420, e450, e451, e452]. mozzarella [leche pasteurizada de vaca, sal, fermentos lácticos (leche), corrector de acidez ácido cítrico, cuajo], cebolla blanca, aceite refinado de girasol, conservantes e262, e326. aliño: aceite de oliva virgen extra, vinagre (sulfito) y sal. puede contener trazas de frutos de cascara , mostaza y apio.|8402001033261|0||||||
12|2026-09-16 11:05:48|38|2026|43812|Seafood salad Listo para Comer Pizza & ready meals Ready to eat Cold meals|0||13242|12|Pizzas y platos preparados|Listo para Comer|Platos fríos|Productos del momento|Rápido y saludable|Ensalada de marisco Listo para Comer||0.3|kg|5.50|€/kg|5.50|pasta ((sémola de trigo duro (gluten), tomate, espinacas), aceite refinado de girasol), potón (15%) (potón (moluscos), sal, estabilizante (e450) y correctores de acidez (e501, e330 y e331)), cebolla roja encurtida (cebolla, azúcar, vinagre de alcohol, vinagre de arroz y sal), zanahoria encurtida (zanahoria, agua, vinagre, azúcar, sal y acidulante (e330)), gambón (8%) (gambón (crustáceos), agua, sal, antioxidantes (e331 y e223 (sulfitos)) y acidulante (e330)), langostino cocido (8%) (langostino (crustáceos), sal y azúcar), vinagreta (aceite refinado de girasol, vinagre de vino tinto (antioxidante (e220 (sulfitos))) y sal) y aceituna negra (aceituna, agua y sal y gluconato ferroso (e579)), aroma natural, vinagre, conservadores (e267,e326 y e262). puede contener trazas de pescado, huevo, soja, mostaza, leche y sus derivados, sésamo, frutos de cáscara, cacahuete y apio.|8402001023262|0||||||
13|2026-09-16 11:05:48|38|2026|43812|Salmon with vegetables Listo para Comer Pizza & ready meals Ready to eat Hot meals|0||13243|13|Pizzas y platos preparados|Listo para Comer|Platos calientes|Productos del momento|Rápido y saludable|Salmón con verduras Listo para Comer||0.4|kg|5.75|€/kg|5.75|salmón marinado (salmón 30% (pescado) (agua, sal), miel, salsa romescu (aceite refinado de girasol, tomate, agua, almendra (frutos de cáscara), vinagre de vino (sulfitos), aceite de oliva, ajo, azúcar, pimentón dulce, pimienta negra, sal y conservador (e202)), mostaza (agua, semillas de mostaza, vinagre de alcohol y sal), zumo de mandarina, zumo de limón (antioxidante (e224 (sulfitos)), conservador (e267), ajo, sal y aroma natural)), arroz aliñado (arroz, aceite refinado de girasol, mix ajo asado (aroma natural, sal, ajo y pimienta negra)), verduras asadas (20%) (calabacín, patata, pimiento rojo y boniato), salsa romescu (aceite refinado de girasol, tomate, agua, almendra (frutos de cáscara), vinagre de vino (sulfitos), aceite de oliva, ajo, azúcar, pimentón dulce, pimienta negra, sal y conservador (e202)). puede contener espinas. puede contener trazas de moluscos, crustáceos, soja, huevo, gluten, leche y sus derivados, sésamo, cacahuete y apio.|8402001023255|0||||||
14|2026-09-16 11:05:48|38|2026|43812|Beef carpaccio Meat Beef Beef|0||2632|14|Carne|Vacuno|Vacuno|Productos del momento|Rápido y saludable|Carpaccio de vacuno||0.11|kg|37.27|€/kg|4.10|producto cárnico marinado. ingredientes: carne de vacuno (92%), agua (4%), sal, dextrosa, antioxidantes (e-301, e-331), estabilizante (e-407)  y conservadores (e-250, e-252, e-325 y e-262(i)). queso parmigiano reggiano. ingredientes: leche, sal y cuajo.|8422930950071|0||||||
15|2026-09-16 11:05:48|38|2026|43812|Marinated beef steak tartare Meat Beef Beef|0||8308|15|Carne|Vacuno|Vacuno|Productos del momento|Rápido y saludable|Steak Tartar de vacuno marinado||0.2|kg|27.00|€/kg|5.40|producto cárnico de vacuno marinado con salsa. ingredientes: 70% producto cárnico (carne de vacuno (92%), agua (4%), sal, dextrosa, antioxidantes (e-301, e-331), estabilizante (e-407) y conservadores (e-250, e-252, e-325 y e-262(i))) y 30% salsa (agua, aceite refinado de girasol, pepinillos agridulces (pepinillos, agua, vinagre de alcohol, azúcar y sal), dextrosa, mezcla de especias (contiene mostaza), salsa worcester (agua, vinagre de alcohol, azúcar, sal, concentrado de tamarindo, azúcar caramelizado, cebolla, ajo, especias y zumo concentrado de limón), cebolla, vinagre de vino blanco, sal, almidón modificado de maíz, yema de huevo en polvo, estabilizante (e-415), tomate, conservador (e-200), acidulante (e-330), colorante (e-150d), aroma natural y antioxidante (e-385)). contiene alérgenos: mostaza y huevo. sin gluten.|8436569263198|0||||||
16|2026-09-16 11:05:49|38|2026|43812|Poke salmon Pizza & ready meals Ready to eat Cold meals|0||13237|16|Pizzas y platos preparados|Listo para Comer|Platos fríos|Productos del momento|Rápido y saludable|Poke salmón||0.4|kg|5.50|€/kg|5.50|arroz de sushi, salmón, semillas, pepino, mango, cebolla encurtida, alga wakame y salsa ponzu.arroz cocido [arroz, aderezo de vinagre (azúcar, vinagre de alcohol, agua, vinagre de arroz, sal), aceite refinado de maíz, zumo de limón (zumo de limón pasteurizado, antioxidante e-224 (sulfitos)) y emulgente e-322 (soja)], salmón 10% (salmo salar) (pescado), mango [mango, agua, antioxidantes (e-302, e-300), acidulante e-330], pepino, ensalada wakame [algas abeto marino (undaria pinnatifida), condimentos (jarabe de maíz de alto contenido en fructosa, agua, aceite de sésamo de presión, azúcar, vinagre de arroz, sal, humectante e-420, colorantes e-133 y e-102*), seta negra (auricularia polytricha), agar agar (gelidium amansii), granos de sésamo, chile rojo], cebolla [cebolla roja, aderezo de vinagre (azúcar, vinagre de alcohol, agua, vinagre de arroz, sal)] y mezcla de semillas [girasol, sésamo, lino marrón, calabaza y amapola]. puede contener crustáceos, huevo, cacahuete, leche, frutos de cáscara, apio, mostaza y moluscos. salsa ponzu: salsa de soja [agua, soja, sal, alcohol, jarabe de maíz de alta fructosa, azúcar, potenciador del sabor (e-635)], aderezo de vinagre [azúcar, vinagre de alcohol, agua, vinagre de arroz, sal], zumo de limón [zumo de limón pasteurizado y antioxidante e-224 (sulfitos)], zumo de mandarina y conservador e-202. sin gluten|8402001001888|0||||||
17|2026-09-16 11:05:48|38|2026|43812|Portuguese-style salad Hacendado Pizza & ready meals Cold ready meals Salad|0||24534|17|Pizzas y platos preparados|Platos preparados fríos|Ensaladilla|Productos del momento|Rápido y saludable|Ensaladilla al estilo Portuguesa Hacendado||0.25|kg|6.80|€/kg|1.70|alubias cocidas 59.5%, huevo cocido 9.5%, atún 9% (atún (pescado), aceite refinado de girasol, sal), clara de huevo cocida 7.5%, cebolla 5%, aceite de oliva virgen extra 3%, aceite refinado de girasol 3%, vinagre de vino blanco 1.5%, perejil, sal, aroma natural. puede contener trazas de crustáceos.|8435605401839|0||||||
18|2026-09-16 11:05:48|38|2026|43812|Italian-style pasta salad Hacendado Pizza & ready meals Cold ready meals Salad|0||24083|18|Pizzas y platos preparados|Platos preparados fríos|Ensaladilla|Productos del momento|Rápido y saludable|Ensalada de pasta al estilo Italiana Hacendado||0.2|kg|10.00|€/kg|2.00|ingredientes: pasta de  sémola de trigo duro cocida (60%) (agua, sémola de trigo duro, vinagre de vino blanco), salsa pesto con albahaca y anacardos (20%) (pasta de albahaca (8,4%) (albahaca, aceite refinado de girasol,  sal marina, antioxidante: e-300), aceite refinado de girasol, anacardos (2,4%), queso (2%) (leche, sal, coagulante de  leche microbiano, fermentos lácticos (leche)), mantequilla  (nata, cultivos de ácido  láctico, concentrado de ácido láctico), aceite de oliva virgen extra, leche desnatada en polvo, acidulante: e-270, antioxidante:  e-300, ajo), pollo marinado frito (10%)  (solomillo de pollo, sal, agua, almidón de tapioca, xilosa y aceite de soja  refinado), queso madurado en salmuera (6%) (queso (leche pasteurizada de vaca, sal, fermentos  lácticos, coagulante de leche microbiano), salmuera (agua, sal, acidulante:  e-270, endurecedor: e-509)), tomate semiseco (4%). puede contener trazas  de soja, huevo, crustáceos, sulfitos, granos de  sésamo, mostaza y pescado.|8402001054921|0||||||
19|2026-09-16 11:05:48|38|2026|43812|Roasted vegetables Hacendado Cans, soups & creams Vegetable & fruit tins Vegetable tins|0||22411|19|Conservas caldos y cremas|Conservas de verdura y frutas|Conservas verdura|Productos del momento|Rápido y saludable|Verduras asadas Hacendado||0.29|kg|10.00|€/kg|2.90|pimiento (34%), cebolla (31%), berenjena (30%), aceite refinado de girasol, aceite de oliva virgen y sal.|8480000224118|0||||||
20|2026-09-16 11:05:49|38|2026|43812|Pasta salad Fruits & vegetables Lettuce & prepared salad Prepared salad|0||69461|20|Fruta y verdura|Lechuga y ensalada preparada|Ensalada preparada|Productos del momento|Rápido y saludable|Ensalada de pasta||0.25|kg|10.40|€/kg|2.60|espirales de pasta de trigo simple cocida 34% (sémola de trigo duro), salsa de yogur 22% (aceite de girasol, agua, azúcar, nata en polvo, yema de huevo, vinagre, yogur en polvo 1,5%, sal, eneldo, jugo de limón concentrado, almidón modificado de maíz, aromas naturales (leche), acidulante (e270), conservador (e202), estabilizante (e415) y antioxidante (e385)), tomate 20%, fiambre de jamón de pavo cocido sabor ahumado 14% (jamón de pavo 46%, agua, fécula, sal, fibra alimentaria, estabilizantes (e451i, e407, e415 y e410), azúcar, aromas, antioxidante (e316), extracto de levadura, conservador (e250) y aroma de humo) y mezcla de brotes de lechuga en proporción variable 10% (brotes de lechuga roja y brotes de lechuga verde). trazas de soja.|8437013139748|0||||||
21|2026-09-16 11:05:49|38|2026|43812|Goats cheese salad Fruits & vegetables Lettuce & prepared salad Prepared salad|0||69474|21|Fruta y verdura|Lechuga y ensalada preparada|Ensalada preparada|Productos del momento|Rápido y saludable|Ensalada queso de cabra||0.153|kg|18.30|€/kg|2.80|mezcla de hortalizas en proporción variable 31% (mezcla de brotes(lechuga batavia verde, lechuga batavia roja y lechuga lollo rosso), brotes de espinaca y rúcula), vinagreta balsámica 24% (agua, vinagre balsámico de módena (vinagre de vino, mosto de uva concentrado, mosto de uva cocido, colorante (e150d)y conservador (metabisulfito potásico)), azúcar, aceite de oliva, sal, colorante (e150d), estabilizante (e414), correctores de la acidez (e262 y e500) y conservador (e202)), manzana roja* 18% (manzana roja y antioxidante (ascorbato de calcio)), queso de cabra fresco* 15% (leche de cabra pasteurizada, cuajo, sal, antiaglomerante (e460ii)), fibra cítrica y conservador (e202)), nueces* 6% y uvas pasas* 5% (uvas pasas y aceite de algodón). trazas de cacahuetes, frutos de cáscara, sésamo, soja, pescado, sulfitos y gluten.|8480000694744|0||||||
22|2026-09-16 11:05:49|38|2026|43812|California salad Fruits & vegetables Lettuce & prepared salad Prepared salad|0||69714|22|Fruta y verdura|Lechuga y ensalada preparada|Ensalada preparada|Productos del momento|Rápido y saludable|Ensalada California||0.192|kg|13.54|€/kg|2.60|hortalizas en proporción variable 34% (escarola rizada, canónigos y achicoria), salsa de miel y mostaza 31% (agua, aceite vegetal de girasol, mostaza 8% (agua, vinagre de alcohol, mostaza, jarabe de glucosa y fructosa, sal, estabilizantes (e412,e410 y e407) y especias), miel 7%, vinagre de alcohol, azúcar, sal, estabilizantes (e415, e412), almidón modificado de maíz, colorante (e150d) y conservadores (e211 y e202)), bacon sabor ahumado 8% (magro de panceta de cerdo, sal, conservadores (e326, e262, e250), azúcar, estabilizantes (e451i, e407), concentrado de manzana-hibisco-melaza, aroma de humo, aromas y antioxidante (e316)), cebolla frita 7,5% (cebolla, aceite vegetal de palma, harina de trigo y sal), nueces 7%, pasas 6% (pasas y aceite de algodón), picatostes 5% (harina de trigo, aceite vegetal de girasol, dextrosa, gluten de trigo, levadura, sal, suero de leche, extracto de malta de cebada, antioxidante (e300)). trazas de cacahuete, soja , sésamo y sulfitos.|8437004621771|0||||||
23|2026-09-16 11:05:49|38|2026|43812|Caesar salad consisting of fresh vegetables, chicken, cheese, croutons and sauces, includes fork Fruits & vegetables Lettuce & prepared salad Prepared salad|0||69849|23|Fruta y verdura|Lechuga y ensalada preparada|Ensalada preparada|Productos del momento|Rápido y saludable|Ensalada César||0.21|kg|12.38|€/kg|2.60|mezcla de hortalizas 36% (lechuga hoja de roble verde, lechuga iceberg), salsa césar 26% (agua, aceite vegetal de girasol, vinagre de alcohol, azúcar, queso, sal, acidulante (e270), pasta de anchoa (anchoa y sal), yema de huevo, estabilizantes (e412 y e415) y especias (cebolla, ajo, perejil y pimienta), conservadores (e211 y e202) y antioxidante (e385)), pechuga de pollo cocida 24% (pechuga de pollo 96%, extractos de fermentación, sal, dextrosa, aroma, estabilizante (e451i) y fibra), queso curado granulado 9% (leche pasteurizada, sal, cuajo y fécula de patata), picatostes 5% (harina de trigo, agua, sal, antioxidante (e300) y levadura).|8480000698490|0||||||
24|2026-09-16 11:05:49|38|2026|43812|Ensatun salad Fruits & vegetables Lettuce & prepared salad Prepared salad|0||69872|24|Fruta y verdura|Lechuga y ensalada preparada|Ensalada preparada|Productos del momento|Rápido y saludable|Ensalada ensatún||0.25|kg|10.40|€/kg|2.60|mezcla de hortalizas en proporcion variable 42% ( tomate cherry, lechuga hoja de roble verde, zanahoria y lechuga iceberg), atún en aceite vegetal (atun, aceite de girasol y sal), maíz dulce en grano 12% (maíz dulce, azúcar y sal), queso de leche de vaca blanco pasteurizado 8% (leche pasteurizada, sal, cuajo y acidulante (e330)), aceitunas verdes deshuesadas 8% (aceitunas, agua, sal, acidulantes (e 270 y 330) y antioxidante (e300)), aceite de oliva virgen extras 6%, vinagre de vino 4% (vinagre de vino y conservador aníhidrido sulfuroso) y sal 0,4% (sal iodada y antiaglomerante (e535). trazas de gluten y frutos de cáscara.|8437013139441|0||||||
25|2026-09-16 11:05:49|38|2026|43812|Garden soup Hacendado Cans, soups & creams Soups & stock Soup|0||19882|25|Conservas caldos y cremas|Sopa y caldo|Sopa|Productos del momento|Rápido y saludable|Sopa hortelana Hacendado||0.35|kg|4.86|€/kg|1.70|agua, verduras 16% (hortalizas en proporción variable: patatas, cebollas, puerros), zanahorias 8%, judías verdes 4%, lentejas rojas y verdes 3%, guisantes 3%, cereales 3% (cebada perlada (gluten) y espelta perlada (gluten)), legumbres 2% (judías azuki verdes, judías blancas), aceite de oliva virgen extra, sal, doble concentrado de tomate, plantas aromáticas, pimienta negra. puede contener trazas de otros cereales que contienen gluten, frutos de cáscara, leche, apio, soja y huevo.|8402001042669|0||||||
26|2026-09-16 11:05:49|38|2026|43812|Cream of lentils Hacendado Cans, soups & creams Gazpacho & creams Creams & puree|1|Italia|11628|26|Conservas caldos y cremas|Gazpacho y cremas|Cremas y puré|Productos del momento|Rápido y saludable|Crema de lentejas Hacendado||0.35|kg|4.86|€/kg|1.70|agua, lentejas 13%, calabaza, zanahoria 4%, cebolla 4%, grelos, aceites de oliva virgen extra, guisantes, pasta de tomate doble, sal, hierbas, especias. puede contener trazas de cereales con gluten, frutos de cáscara, leche, apio, soja y huevo.|8402001030840|0||||Lentils seeds, sprouted, fresh, raw|20521|
27|2026-09-16 11:05:49|38|2026|43812|Cream of zucchini Hacendado Cans, soups & creams Gazpacho & creams Creams & puree|0|Manerbio|35870|27|Conservas caldos y cremas|Gazpacho y cremas|Cremas y puré|Productos del momento|Rápido y saludable|Crema de calabacín Hacendado||0.35|kg|4.86|€/kg|1.70|calabacín 40%, agua, cebolla, zanahoria, apio nabo 5%, aceite de oliva virgen extra, sal. puede contener trazas de cereales con gluten, frutos de cáscara, leche, soja y huevo. sin conservantes ni colorantes.|8402001012310|0||||||
28|2026-09-16 11:05:49|38|2026|43812|Cream of vegetables Hacendado Cans, soups & creams Gazpacho & creams Creams & puree|0||8722|28|Conservas caldos y cremas|Gazpacho y cremas|Cremas y puré|Productos del momento|Rápido y saludable|Crema de verduras Hacendado||0.35|kg|4.86|€/kg|1.70|verduras 48% (verduras en proporción variable: patata, zanahoria, calabacín, calabaza, acelga, puerro, judía verde, berza), agua, guisante, aceite de oliva virgen extra, sal.|8480000087225|0||||||
29|2026-09-16 11:05:50|38|2026|43812|Cream of asparagus Hacendado Cans, soups & creams Gazpacho & creams Creams & puree|0|Italia|86587|29|Conservas caldos y cremas|Gazpacho y cremas|Cremas y puré|Productos del momento|Rápido y saludable|Crema de espárragos Hacendado||0.35|kg|4.86|€/kg|1.70|agua, patata, espárragos 23%, bebida de soja (agua, semillas de soja libres de ogm, sal), aceite de oliva, puerro, sal, aromas. puede contener trazas de gluten, frutos de cáscara, leche, apio y huevo.|8480000865878|0||||||
30|2026-09-16 11:05:50|38|2026|43812|Cream of pumpkin and carrot Hacendado Cans, soups & creams Gazpacho & creams Creams & puree|0|Italia|23225|30|Conservas caldos y cremas|Gazpacho y cremas|Cremas y puré|Productos del momento|Rápido y saludable|Crema de calabaza y zanahoria Hacendado||0.35|kg|4.86|€/kg|1.70|agua, calabaza 24%, zanahoria 17%, patata, puerro, jugo de soja (agua, semilla de soja libre de ogm, sal), aceite de oliva, sal, especias, aroma natural.|8480000232250|0||||||
31|2026-09-16 11:05:50|38|2026|43812|Natural Burgos cheese Hacendado Deli & cheese Spreadable cheese, fresh cheese and specialties Fresh cheese|0||52408|31|Charcutería y quesos|Queso untable fresco y especialidades|Queso fresco|Productos del momento|Rápido y saludable|Queso fresco Burgos natural Hacendado||0.25|kg|4.60|€/kg|1.15|leche pasteurizada (origen: españa), sal y cuajo (microbiano). sin gluten.|8480000524089|0||||||
32|2026-09-16 11:05:50|38|2026|43812|Fresh cow cheese Hacendado Deli & cheese Spreadable cheese, fresh cheese and specialties Fresh cheese|0||51191|32|Charcutería y quesos|Queso untable fresco y especialidades|Queso fresco|Productos del momento|Rápido y saludable|Queso fresco de vaca Hacendado||0.25|kg|6.40|€/kg|1.60|leche de vaca pasteurizada, sal y cuajo microbiano.origen de la leche: españa|8480000511911|0||||||
33|2026-09-16 11:05:50|38|2026|43812|Light cow fresh cheese Hacendado Deli & cheese Spreadable cheese, fresh cheese and specialties Fresh cheese|0||51192|33|Charcutería y quesos|Queso untable fresco y especialidades|Queso fresco|Productos del momento|Rápido y saludable|Queso fresco light de vaca Hacendado||0.25|kg|8.80|€/kg|2.20|leche de vaca pasteurizada semidesnatada, sal y cuajo microbiano.origen de la leche: españa|8480000511928|0||||||
34|2026-09-16 11:05:50|38|2026|43812|Fresh goat cheese Hacendado Deli & cheese Spreadable cheese, fresh cheese and specialties Fresh cheese|0||51194|34|Charcutería y quesos|Queso untable fresco y especialidades|Queso fresco|Productos del momento|Rápido y saludable|Queso fresco de cabra Hacendado||0.25|kg|11.80|€/kg|2.95|leche de cabra pasteurizada, sal y cuajo microbiano.origen de la leche: españa|8480000511942|0||||||
35|2026-09-16 11:05:50|38|2026|43812|Smoked salmon cubes Hacendado Seafood & fish Salted & smoked fish Smoked|0|Elaborado en España|22612|35|Marisco y pescado|Salazones y ahumados|Ahumados|Productos del momento|Rápido y saludable|Taquitos de salmón ahumado Hacendado||0.1|kg|38.00|€/kg|3.80|salmón (pescado) (salmo salar) (97%), sal, aroma natural y conservador: vinagre tamponado.|8480000226129|0||||||
36|2026-09-16 11:05:51|38|2026|43812|Salmon steaks Seafood & fish Fresh fish Salmon|0|Noruega|87205|36|Marisco y pescado|Pescado fresco|Salmón|Productos del momento|Rápido y saludable|Rodaja de salmón||0.35|kg|19.50|€/kg|6.82|salmón (salmo salar). puede contener crustáceos y moluscos.|8402001049200|0||||||
37|2026-09-16 11:05:51|38|2026|43812|Yellowfin tuna slices Seafood & fish Fresh fish Other|0||87197|37|Marisco y pescado|Pescado fresco|Otros|Productos del momento|Rápido y saludable|Rodajas de atún de aleta amarilla||0.235|kg|22.25|€/kg|5.23|atún de aleta amarilla (95%, pescado), agua, sal, antioxidantes e331 y e301, aroma natural.|8435274119967|0||||||
38|2026-09-16 11:05:51|38|2026|43812|Blackbelly rosefish fillets with added water Seafood & fish Fresh fish Other|0|España|87350|38|Marisco y pescado|Pescado fresco|Otros|Productos del momento|Rápido y saludable|Filetes de Gallineta descongelada||0.38|kg|16.00|€/kg|6.08|gallineta (sebastes spp) (pescado), agua añadida (10%), sal, corrector de acidez (e-331) y antioxidantes (e-330, e-301, e-316). puede contener trazas de moluscos y/o crustáceos.|8402001024597|0||||||
39|2026-09-16 11:05:51|38|2026|43812|Sea bream fillets Seafood & fish Fresh fish Sea bream|0||87302|39|Marisco y pescado|Pescado fresco|Dorada|Productos del momento|Rápido y saludable|Filetes de dorada||0.2|kg|22.50|€/kg|4.50|dorada (pescado) (sparus aurata). puede contener trazas de crustáceos y moluscos.|8402001030055|0||||||
40|2026-09-16 11:05:51|38|2026|43812|Sea bass fillets Seafood & fish Fresh fish Sea bass|0||87313|40|Marisco y pescado|Pescado fresco|Lubina|Productos del momento|Rápido y saludable|Filete de lubina||0.2|kg|22.50|€/kg|4.50|lubina (pescado) (dicentrarchus labrax). puede contener trazas de crustáceos y moluscos.|8402001030062|0||||||
41|2026-09-16 11:05:51|38|2026|43812|Cooked octopus tentacles Seafood & fish Fresh fish Cuttlefish, octopus and squid|0||87775|41|Marisco y pescado|Pescado fresco|Sepia, pulpo y calamar|Productos del momento|Rápido y saludable|Patas de pulpo cocido||0.25|kg|42.00|€/kg|10.50|pulpo (moluscos) (octopus vulgaris) y sal. puede contener pescado y/o crustáceos.|8480000877758|0||||||
42|2026-09-16 11:05:51|38|2026|43812|Frozen raw shrimp tails Hacendado Frozen food Seafood Seafood|0|España|24102|42|Congelados|Marisco|Marisco|Productos del momento|Rápido y saludable|Colas de gambón crudo Hacendado congelado||0.25|kg|24.60|€/kg|6.15|gambón (pleoticus muelleri) (crustáceos), agua, sal y antioxidante: metabisulfito de sodio (sulfitos). puede contener moluscos y/o pescado.|8402001033032|0||||||
43|2026-09-16 11:05:52|38|2026|43812|Deep Frozen king prawn cooked and peeled Hacendado Frozen food Seafood Seafood|0||24477|43|Congelados|Marisco|Marisco|Productos del momento|Rápido y saludable|Langostino cocido y pelado Hacendado ultracongelado||None|kg|22.73|€/kg|5.00|langostino vannamei (penaeus vannamei) (crustáceo), sal, antioxidantes (e 223 (sulfitos), e 330). puede contener: moluscos y/o pescado.|8480000244772|0||||||
44|2026-09-16 11:05:52|38|2026|43812|Frozen yellowfin tuna slices Hacendado Frozen food Fish Fish|0|España|24357|44|Congelados|Pescado|Pescado|Productos del momento|Rápido y saludable|Rodajas de atún de aleta amarilla Hacendado congelado||0.25|kg|17.50|€/kg|4.38|atún de aleta amarilla, (95%,  pescado), agua, sal, antioxidantes e331 y e301, corrector de acidez e500, aroma  natural|8435274110728|0||||||
45|2026-09-16 11:05:52|38|2026|43812|Salmon fillets without skin frozen Hacendado Frozen food Fish Fish|0|España|24511|45|Congelados|Pescado|Pescado|Productos del momento|Rápido y saludable|Lomos de salmón sin piel Hacendado congelado||0.25|kg|23.80|€/kg|5.95|2 piezas de lomo de salmón sin piel (salmo salar) (pescado) de cría de noruega.|8480000245113|0||||||
46|2026-09-16 11:05:52|38|2026|43812|Lightly salted deep-frozen cod fillets MareDeus Frozen food Fish Fish|0|Noruega/Rusia|24016|46|Congelados|Pescado|Pescado|Productos del momento|Rápido y saludable|Filetes de bacalao MareDeus ultracongelado||None|kg|19.73|€/kg|7.40|bacalao (gadus morhua) 90%, agua 8% y sal 2%.|8436542052023|0||||||
47|2026-09-16 11:05:52|38|2026|43812|Diced turkey Meat Poultry Turkey & other fowl|0||12874|47|Carne|Aves y pollo|Pavo y otras aves|Productos del momento|Rápido y saludable|Tacos de pavo||0.57|kg|7.60|€/kg|4.33||8436039782945|0||||||
